For M5|Adr     1|TO  071125.dat                 |                      |                      |                      | 
For M5|Adr     2|TO  Medida de espalda          |                      |                      |                      | 
For M5|Adr     3|KD1    COTA0                   |                      |                      |Z         9.96000 m   | 
For M5|Adr     4|KD1    COTA0      09:40:201    |R         1.67911 m   |HD         19.860 m   |                      | 
For M5|Adr     5|TO  Punteria intermedia        |                      |                      |                      | 
For M5|Adr     6|KD1       A1      09:43:081    |Rz        1.66066 m   |HD         17.852 m   |Z         9.97845 m   | 
For M5|Adr     7|KD1       A2      09:43:191    |Rz        1.64051 m   |HD         18.831 m   |Z         9.99860 m   | 
For M5|Adr     8|KD1       A3      09:43:311    |Rz        1.65483 m   |HD         16.355 m   |Z         9.98428 m   | 
For M5|Adr     9|KD1       A4      09:43:431    |Rz        1.64144 m   |HD         17.423 m   |Z         9.99767 m   | 
For M5|Adr    10|KD1       A5      09:44:081    |Rz        1.65493 m   |HD         14.329 m   |Z         9.98418 m   | 
For M5|Adr    11|KD1       A6      09:44:211    |Rz        1.63877 m   |HD         15.541 m   |Z        10.00034 m   | 
For M5|Adr    12|KD1       A7      09:44:331    |Rz        1.65895 m   |HD         12.713 m   |Z         9.98016 m   | 
For M5|Adr    13|KD1       A8      09:44:431    |Rz        1.65646 m   |HD         14.052 m   |Z         9.98265 m   | 
For M5|Adr    14|KD1       A9      09:44:581    |Rz        1.66584 m   |HD         12.085 m   |Z         9.97327 m   | 
For M5|Adr    15|KD1      A10      09:46:471    |Rz        1.68056 m   |HD         11.632 m   |Z         9.95855 m   | 
For M5|Adr    16|KD1      A11      09:46:591    |Rz        1.68361 m   |HD         13.091 m   |Z         9.95550 m   | 
For M5|Adr    17|KD1      A12      09:47:131    |Rz        1.67254 m   |HD         11.359 m   |Z         9.96657 m   | 
For M5|Adr    18|KD1      A13      09:47:261    |Rz        1.68174 m   |HD         11.275 m   |Z         9.95737 m   | 
For M5|Adr    19|KD1      A14      09:47:371    |Rz        1.68157 m   |HD         12.781 m   |Z         9.95754 m   | 
For M5|Adr    20|KD1      A15      09:47:511    |Rz        1.67873 m   |HD         11.400 m   |Z         9.96038 m   | 
For M5|Adr    21|KD1      A16      09:48:041    |Rz        1.68188 m   |HD         11.711 m   |Z         9.95723 m   | 
For M5|Adr    22|KD1      A17      09:48:161    |Rz        1.67069 m   |HD         13.160 m   |Z         9.96842 m   | 
For M5|Adr    23|KD1      A18      09:48:271    |Rz        1.67963 m   |HD         12.211 m   |Z         9.95948 m   | 
For M5|Adr    24|KD1      A19      09:48:401    |Rz        1.67899 m   |HD         12.852 m   |Z         9.96012 m   | 
For M5|Adr    25|KD1      A20      09:48:531    |Rz        1.67695 m   |HD         14.179 m   |Z         9.96216 m   | 
For M5|Adr    26|KD1      A21      09:49:061    |Rz        1.68175 m   |HD         13.629 m   |Z         9.95736 m   | 
For M5|Adr    27|KD1      A22      09:49:171    |Rz        1.67763 m   |HD         14.519 m   |Z         9.96148 m   | 
For M5|Adr    28|KD1      A23      09:49:291    |Rz        1.67492 m   |HD         15.709 m   |Z         9.96419 m   | 
For M5|Adr    29|KD1      A24      09:49:431    |Rz        1.67634 m   |HD         15.516 m   |Z         9.96277 m   | 
For M5|Adr    30|KD1      A25      09:49:541    |Rz        1.68238 m   |HD         16.578 m   |Z         9.95673 m   | 
For M5|Adr    31|KD1      A26      09:50:061    |Rz        1.67562 m   |HD         17.637 m   |Z         9.96349 m   | 
For M5|Adr    32|KD1      A27      09:50:531    |Rz        1.68387 m   |HD         17.710 m   |Z         9.95524 m   | 
For M5|Adr    33|KD1      A28      09:51:101    |Rz        1.68310 m   |HD         18.903 m   |Z         9.95601 m   | 
For M5|Adr    34|KD1      A29      09:51:251    |Rz        1.67303 m   |HD         19.831 m   |Z         9.96608 m   | 
For M5|Adr    35|KD1       B1      09:52:151    |Rz        1.66954 m   |HD         16.574 m   |Z         9.96957 m   | 
For M5|Adr    36|KD1       B2      09:52:261    |Rz        1.67201 m   |HD         17.397 m   |Z         9.96710 m   | 
For M5|Adr    37|KD1       B3      09:52:411    |Rz        1.68090 m   |HD         15.793 m   |Z         9.95821 m   | 
For M5|Adr    38|KD1       B4      09:52:541    |Rz        1.68313 m   |HD         16.651 m   |Z         9.95598 m   | 
For M5|Adr    39|KD1       B5      09:53:071    |Rz        1.78343 m   |HD         15.491 m   |Z         9.85568 m   | 
For M5|Adr    40|KD1       B6      09:53:201    |Rz        1.78373 m   |HD         15.344 m   |Z         9.85538 m   | 
For M5|Adr    41|KD1       B7      09:53:311    |Rz        1.68719 m   |HD         16.243 m   |Z         9.95192 m   | 
For M5|Adr    42|KD1       B8      09:53:441    |Rz        1.78280 m   |HD         15.342 m   |Z         9.85631 m   | 
For M5|Adr    43|KD1       B9      09:53:541    |Rz        1.77773 m   |HD         15.479 m   |Z         9.86138 m   | 
For M5|Adr    44|KD1      B10      09:54:381    |Rz        1.68376 m   |HD         16.368 m   |Z         9.95535 m   | 
For M5|Adr    45|KD1      B11      09:54:501    |Rz        1.77612 m   |HD         15.772 m   |Z         9.86299 m   | 
For M5|Adr    46|KD1      B12      09:55:001    |Rz        1.78748 m   |HD         16.181 m   |Z         9.85163 m   | 
For M5|Adr    47|KD1      B13      09:55:101    |Rz        1.68380 m   |HD         17.033 m   |Z         9.95531 m   | 
For M5|Adr    48|KD1      B14      09:55:221    |Rz        1.78417 m   |HD         16.734 m   |Z         9.85494 m   | 
For M5|Adr    49|KD1      B15      09:55:341    |Rz        1.77921 m   |HD         17.388 m   |Z         9.85990 m   | 
For M5|Adr    50|KD1      B16      09:55:461    |Rz        1.69189 m   |HD         18.183 m   |Z         9.94722 m   | 
For M5|Adr    51|KD1      B17      09:55:581    |Rz        1.77927 m   |HD         18.161 m   |Z         9.85984 m   | 
For M5|Adr    52|KD1      B18      09:56:121    |Rz        1.68063 m   |HD         18.977 m   |Z         9.95848 m   | 
For M5|Adr    53|KD1      B19      09:56:261    |Rz        1.68370 m   |HD         19.711 m   |Z         9.95541 m   | 
For M5|Adr    54|KD1       C1      09:57:221    |Rz        1.67955 m   |HD         14.247 m   |Z         9.95956 m   | 
For M5|Adr    55|KD1       C2      09:57:341    |Rz        1.68346 m   |HD         14.678 m   |Z         9.95565 m   | 
For M5|Adr    56|KD1       C3      09:57:431    |Rz        1.67317 m   |HD         12.331 m   |Z         9.96594 m   | 
For M5|Adr    57|KD1       C4      09:57:551    |Rz        1.68411 m   |HD         12.814 m   |Z         9.95500 m   | 
For M5|Adr    58|KD1       C5      09:58:111    |Rz        1.66633 m   |HD          9.481 m   |Z         9.97278 m   | 
For M5|Adr    59|KD1       C6      09:58:201    |Rz        1.67335 m   |HD         10.130 m   |Z         9.96576 m   | 
For M5|Adr    60|KD1       C7      09:58:311    |Rz        1.67929 m   |HD          6.766 m   |Z         9.95982 m   | 
